id	title	publisher	dateOfPublication	placeOfPublication	series
0db0cbb2-89f3-48c6-94cb-ef930e8de8cd	Laser remote sensing : fundamentals and applications	Wiley,	©1984.	New York :	
3c13dae7-a546-4726-abff-86619478d75c	Prenatal drug exposure	U.S. Dept. of Health and Human Services, Public Health Service, Alcohol, Drug Abuse, and Mental Health Administration, National Institute on Drug Abuse ;	1985.	Rockville, Md. :	
dacb507a-c2a7-40e7-a415-f5e07cef0862	The Russians in Germany : a history of the Soviet Zone of occupation, 1945-1949	Belknap Press of Harvard University Press,	1995.	Cambridge, Mass. :	
ae9b8703-5577-448b-afc6-8b9a9e7b2a5c	Invisible poets; Afro-Americans of the nineteenth century	University of Illinois Press,	[1974]	Urbana :	
e6e4ac6f-ce96-4992-b9f9-2da1c20be1fb	A Decade of American foreign policy : basic documents 1941-1949	Dept. of State :	1985.	Washington :	
acf17cf4-37e4-404c-8aad-92fdd8a730b0	Greek religion	Harvard University Press,	1985.	Cambridge, Mass. :	
885a5478-22e7-498a-ab4f-79f7b1462616	Twenty-one years of Bird & Bull : a bibliography, 1958-1979	W. Thomas Taylor [and] Bird & Bull Press,	1980.	[North Hills, Pa.] :	
d61d44ed-745e-444e-ba54-2594020788e9	Nuclear wastes in the Arctic : an analysis of Arctic and other regional impacts from Soviet nuclear contamination	United States Congress, Office of Technology Assessment,	1995.	Washington, D.C. :	
dded8aec-ca88-46e2-866f-3951c648d8c4	Biodiversity and ecosystem function	Springer-Verlag,	©1994.	Berlin ;	
ce0672d9-ab7e-473a-a1dd-a05d6182d77c	The DSM-IV personality disorders	Guilford Press,	1995.	New York :	
205b1a25-58d5-4bba-828f-8dbcbe06a45f	The kingdom of Lu : the virtuous reforms of Confucius therein, something about his rival sage L^ao-tsze and more about that deplorable vagabond and clown Mong Pi	Cosmopolitan Book Corp.,	1929.	New York :	
54a3f4bb-c9ff-44ed-86b5-0e02f902e5f2	Savage art : a biography of Jim Thompson	Knopf :	©1995.	New York :	
aa6002c4-95f0-405b-ac7d-fdde1000309a	William Penn	Follett Pub. Co.,	[1968]	Chicago :	
df4c6252-77b6-438a-9673-ecd77da8f123	A world bibliography of bibliographies and of bibliographical catalogues, calendars, abstracts, digests, indexes, and the like	Societas Bibliographica,	[1965-66]	Lausanne :	
4e21bad7-1d67-4e1b-ab1a-5992d2a20134	Beethoven, the Ninth symphony	Schirmer Books ;	©1995.	New York :	
9ae7064e-7a63-4dcc-976d-38341e4b61fb	Psychotherapy education and training : an integrative perspective	International Universities Press,	©1995.	Madison, Conn. :	
88edf259-198c-48eb-b947-1da1b6d48ac7	Pakistan : a country study	Federal Research Division, Library of Congress,	[1995]	Washington, D.C. :	
b06f6e25-45c7-4e6f-99d3-fc0392b8867c	The household dimension of the family in India : a field study in a Gujarat village and a review of other studies	University of California Press,	[1974]	Berkeley :	
3970cd42-6b1d-4d5a-8e53-e24d3b93ae82	Temps et mystification dans "A la recherche du temps perdu."	A.G. Nizet,	1963.	Paris :	
2a9510c9-6995-4707-91bc-a4f6db574bec	The world of Marcus Garvey : race and class in modern society	Louisiana State University Press,	©1985.	Baton Rouge :	
7bd07cb7-3db4-4a39-b562-2e8b7b601fe7	An inquiry into the nature and causes of the wealth of nations	The Modern library,	©1965.	New York :	
5ba557a2-39b5-4fe3-b072-d85dba4f30da	Ida Tarbell : first of the muckrakers	Crowell,	[1971]	New York :	
348faeb1-ab22-4155-9109-bb34d98759d0	The battle of Gettysburg	T. H. Davis & co.,	1875.	Philadelphia :	
f67f0167-3ad8-47d3-bebc-26dfc6ac084e	Treating troubled children and their families	Guilford Press,	©1994.	New York :	
e354ecd6-0e8d-4a39-860c-dd59bd202ebb	Krik? Krak!	Soho Press,	©1995.	New York :	
19d2ff82-0da4-4272-bda6-eb259a485df2	Shooting an elephant				
bdca6f30-ee98-475c-8fe8-c7ad6985a58f	1912*-1952, full cycle	null	[195?]	[Place of publication not identified],	
8ea980ef-7f83-4e3a-abed-a606c80325e0	Teaching styles as related to student achievement	National Education Association,	©1986.	Washington, D.C. :	
72129653-05f8-469c-88c7-edcf3ce2b7dc	The price of tea in China	University of Massachusetts Press,	©1995.	Amherst :	
7cdd5874-dbbe-409f-910a-f0d6361a69c1	Toward a meaningful life : the wisdom of the rebbe	William Morrow,	1995.	New York, NY :	
840fd882-44bf-466d-a195-4c972d0678aa	School desegregation: outcomes for children	Wiley,	[1975]	New York :	
e3484794-4f9d-4ba3-b716-a62e8fd7015c	Arabian nights and days	Doubleday,	©1995.	New York :	
db343f90-8991-43a2-b38c-fbb53a7cd1bc	Le désir chez Proust : A la recherche du sens	Éditions Nauwelaerts;	1971.	Louvain :	
c07509da-753d-4e6b-8f4f-ebe51a44fde4	A people apart	Houghton Mifflin,	1995.	Boston :	
6db00ac9-32f4-4b78-8fe3-ca59cc7679ea	Fish passage technologies : protection at hydropower facilities	Congress of the U.S., Office of Technology Assessment :	[1995]	Washington, DC :	
501543ec-1fbd-4e47-a72a-a5f2d27ed023	L'autre : roman	Plon,	1971.	[Paris] :	
9849994b-9071-4bf6-adc3-e74d6e579fc2	Membranes and barriers : targeted drug delivery	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Institute on Drug Abuse, Division of Preclinical Research,	1995.	Rockville, MD :	
0e5692d8-9462-4360-b651-fa9eac765b4e	The sermons of John Donne	University of California Press,	1984, ©1953-62.	Berkeley :	
f681a0e6-5687-45e7-bfbc-8082ae837771	Angelo	P. Owen,	[1960]	London :	
dc2d7a94-0877-413d-93be-b040450e3f09	Le procès-verbal	Gallimard,	[©1963]	[Paris] :	
097d9299-8433-422a-91c8-7434254823ea	The diary of a young girl : the definitive edition	Doubleday,	©1995.	New York :	
ab354613-f4a0-47b1-a2ec-fbded4790f94	Nothing is impossible : the story of Beatrix Potter	Atheneum,	1969.	New York :	
bc6d672f-4393-4078-9781-f8676caf3ce1	House pattern Lancaster quadrangle	[publisher not identified],	1936.	[Place of publication not identified] :	
1e473e24-226e-4657-967e-de39325ea7d3	Computers of the future : intelligent machines and virtual reality	Dillon Press,	1996.	Parsippany, N.J. :	
df454e06-427c-4ca4-a94d-5bcfc51521f9	Hear ye of Philadelphia	Lothrop, Lee & Shepard Co.,	[1968]	New York :	
bd6cee04-7303-4ed4-9d35-936c9a591d69	A system of anatomy for the use of students of medicine	Thomas, Cowperthwait,	1839, 1838.	Philadelphia :	
55c1c694-b7f9-41da-958a-9a8e7ac2545e	Marcel Proust : the fictions of life and of art	Oxford University Press,	1965.	New York :	
8102368b-ad64-4b21-9674-f691b532dea2	The love eaters : The kiss of kin	University of South Carolina Press,	1995.	Columbia :	
69ac7548-9bce-4835-84a2-954d18f7ff3f	Business section, City of Lancaster	The Company,	[193?]	Springfield, Mass. :	
d7971a16-b016-4746-a9b2-6fc34c17a6b6	Activities in astronomy	Kendall/Hunt,	©1996.	Dubuque, Iowa :	
014acbbf-6f6c-483d-ac10-64341f1cea46	Geometrical and graphical essays : containing, a general description of the mathematical instruments used in geometry, civil and military surveying, levelling, and perspective	Printed by J. Dillon, and Co., and sold by W. and S. Jones,	1797.	London :	
d88d67b9-89cc-4748-958b-89faf2912af0	Education still under siege	Bergin & Garvey,	1993.	Westport, Conn. :	
b3a67135-30d6-4186-bd31-9f3574f3cc9c	Urban land use planning	University of Illinois Press,	©1995.	Urbana :	
1df04b0e-a2c4-491b-8e9a-801f6a9e535b	Discovery of novel opioid medications [microform]	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Institute on Drug Abuse ;	1995.	Rockville, MD :	
b2ab0e39-d04a-4c92-bf3d-18d9d1c4e0e4	The double tongue	Farrar, Straus and Giroux,	1995.	New York :	
dda32fab-968a-4a1d-98a4-d269772b1c99	Eli Whitney, great inventor	Garrard Pub. Co.,	[1963]	Champaign, Ill. :	
e63d9ddd-1059-4443-ad91-a76ba7b19cf7	Marcel Proust et les signes	Presses Universitaires de France,	1964.	Paris :	
1b69f78f-df5a-4252-9d83-a5883d5b92cc	Saddles and spurs : the pony express saga	University of Nebraska Press,	1972.	Lincoln :	
0e38d237-cb77-4476-893d-15dac3a78798	Biological mechanisms and perinatal exposure to abused drugs	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Institute on Drug Abuse, Division of Basic Research,	1995.	Rockville, MD :	
b50d3c89-b52a-4754-8e2d-27c22d8a2529	Heiliger Krieg : Wie derselbe gefuhrt wird von Christo Jesu, dem Sohne des El-Schaddai, des ewigen und allmachtigen Konigs, wider den Teufel. Oder das Verlieren und Wieder-Grobern der beruhmten Stadt Mensch-Seele. Mit sechs seinen Holzschnitten verziert	Gedruckt und zu haben bei Lutz und Scheffer,	1850.	Harrisburg, Penna :	
6130b5c1-e2be-48fc-8b25-18630fdce0db	Psychoanalytic diagnosis : understanding personality structure in the clinical process	Guilford Press,	©1994.	New York :	
4e50bd13-051b-4124-ad76-48c72b7aa0d8	Two old women : an Alaska legend of betrayal, courage, and survival	HarperPerennial,	1994.	New York, NY :	
ce904fdb-2c7f-4c98-92c2-82fe9782f390	Environmental policy tools : a user's guide	Office of Technology Assessment, Congress of the U.S. :	[1995]	Washington, DC :	
